Wall time,Step,Value
1680370317.5356276,500,11131268628480.0
1680370319.291913,1000,30839257694208.0
1680370320.9990196,1500,74006078160896.0
1680370322.7362823,2000,70034554617856.0
1680370324.4588299,2500,78507262607360.0
1680370326.1227205,3000,182323676971008.0
1680370327.720256,3500,7812522967040.0
1680370329.274802,4000,17284150067200.0
1680370330.8449576,4500,40475297841152.0
1680370332.4235764,5000,38329097650176.0
1680370333.9964252,5500,110551552229376.0
1680370335.6116147,6000,150456512806912.0
1680370337.2293048,6500,332486739492864.0
1680370338.9496098,7000,8874068279296.0
1680370340.5312116,7500,22345903243264.0
1680370342.1513994,8000,59144463712256.0
1680370343.975647,8500,55954997510144.0
1680370345.6346114,9000,60857400688640.0
1680370347.2203896,9500,127080163442688.0
1680370348.9278557,10000,6484997439488.0
1680370350.5086398,10500,14371846619136.0
1680370352.1039937,11000,38179553935360.0
1680370353.6695251,11500,54398508072960.0
1680370355.2674007,12000,87238058704896.0
1680370356.8536675,12500,168188218179584.0
1680370358.4739919,13000,343611979857920.0
1680370360.2161832,13500,10401600241664.0
1680370361.8080368,14000,26188076548096.0
1680370363.398417,14500,54069230043136.0
1680370364.9776144,15000,84774500696064.0
1680370366.5633948,15500,145051917221888.0
1680370368.1914268,16000,294883965272064.0
1680370369.900387,16500,8231721107456.0
1680370371.5136037,17000,14742197370880.0
1680370373.1160994,17500,40396772081664.0
1680370374.664018,18000,78503470956544.0
1680370376.2658236,18500,124029906190336.0
1680370377.8506517,19000,204416133103616.0
1680370379.4399664,19500,516244969095168.0
1680370381.1551292,20000,9270736191488.0
1680370382.7787976,20500,23965384835072.0
1680370384.4055517,21000,68386092482560.0
1680370386.0320315,21500,58953996173312.0
1680370387.660518,22000,105913482477568.0
1680370389.3029077,22500,218194186862592.0
1680370391.0404382,23000,8646066962432.0
1680370392.691403,23500,11830375219200.0
1680370394.326046,24000,30933864415232.0
1680370395.9689722,24500,54328853266432.0
1680370397.5724924,25000,91644267331584.0
1680370399.2063937,25500,153691814363136.0
1680370400.8282833,26000,295454390616064.0
1680370402.570402,26500,8585519038464.0
1680370404.1464093,27000,22965339029504.0
1680370405.8331704,27500,63996115812352.0
1680370407.4724088,28000,71411037110272.0
1680370409.1069598,28500,168627143704576.0
1680370410.7331855,29000,248379888107520.0
1680370412.4729786,29500,10647940104192.0
1680370414.0993257,30000,12198492504064.0
1680370415.735069,30500,28665890996224.0
1680370417.3488765,31000,56600698028032.0
1680370418.9520595,31500,94011146633216.0
1680370420.6317203,32000,152845101826048.0
1680370422.25569,32500,277087264964608.0
1680370424.0774658,33000,6746064027648.0
1680370425.7057176,33500,19528752824320.0
1680370427.338504,34000,39952062611456.0
1680370428.951554,34500,24221994450944.0
1680370430.5911832,35000,97127665500160.0
1680370432.2108638,35500,134837000208384.0
1680370433.9171484,36000,10158708097024.0
1680370435.5463455,36500,11938781200384.0
1680370437.1911366,37000,30053461131264.0
1680370438.8626275,37500,64084900839424.0
